module,number of nodes,tasks per node,iteration,mode,model,seed,person count,item count,iterations,burnin,batch size,mean,variance,unif,size,time in seconds,a correlation,g correlation,th correlation
openmpi,1,2,1,mpi,2pno,1493659,5000,50,10000,5000,10,0,1,1,2,121.703,0.994964,0.999312,0.932731
openmpi,1,2,1,mpi,2pno,1493659,5000,100,10000,5000,10,0,1,1,2,254.411,0.997632,0.999473,0.968682
openmpi,2,8,2,cuda-aware mpi,2pno,1493659,500,200,10000,5000,10,0,1,1,16,11.062,0.975897,0.995014,0.98584
openmpi,2,8,3,cuda-aware mpi,2pno,1493659,500,200,10000,5000,10,0,1,1,16,11.069,0.975924,0.995021,0.985835
openmpi,2,8,1,cuda-aware mpi,2pno,1493659,1000,20,10000,5000,10,0,1,1,16,10.548,0.982163,0.996848,0.852757
openmpi,2,8,2,cuda-aware mpi,2pno,1493659,1000,20,10000,5000,10,0,1,1,16,10.536,0.982653,0.996848,0.852815
openmpi,2,8,3,cuda-aware mpi,2pno,1493659,1000,20,10000,5000,10,0,1,1,16,10.997,0.982444,0.996849,0.852785
openmpi,2,8,1,cuda-aware mpi,2pno,1493659,1000,50,10000,5000,10,0,1,1,16,10.665,0.98168,0.996257,0.933359
openmpi,2,8,2,cuda-aware mpi,2pno,1493659,1000,50,10000,5000,10,0,1,1,16,10.688,0.981688,0.996263,0.933367
openmpi,1,8,1,mpi,2pno,1493659,2000,20,10000,5000,10,0,1,1,8,4.915,0.979176,0.997809,0.858402
openmpi,1,8,1,mpi,2pno,1493659,2000,50,10000,5000,10,0,1,1,8,12.392,0.992063,0.998144,0.93724
openmpi,1,8,1,mpi,2pno,1493659,2000,100,10000,5000,10,0,1,1,8,25.724,0.992598,0.998583,0.970341
openmpi,1,8,1,mpi,2pno,1493659,2000,200,10000,5000,10,0,1,1,8,50.13,0.993665,0.998594,0.985642
openmpi,1,8,1,mpi,2pno,1493659,5000,20,10000,5000,10,0,1,1,8,12.345,0.993875,0.999494,0.846697
openmpi,1,8,1,mpi,2pno,1493659,5000,50,10000,5000,10,0,1,1,8,30.621,0.995117,0.999307,0.932574
openmpi,1,8,1,mpi,2pno,1493659,5000,100,10000,5000,10,0,1,1,8,62.698,0.997628,0.999477,0.968757
openmpi,1,4,1,mpi,2pno,1493659,2000,20,10000,5000,10,0,1,1,4,9.851,0.980011,0.997721,0.858452
openmpi,1,4,1,mpi,2pno,1493659,2000,50,10000,5000,10,0,1,1,4,24.431,0.992041,0.998184,0.937288
openmpi,1,4,1,mpi,2pno,1493659,2000,100,10000,5000,10,0,1,1,4,49.582,0.992676,0.998621,0.970291
openmpi,1,4,1,mpi,2pno,1493659,2000,200,10000,5000,10,0,1,1,4,98.239,0.993603,0.998567,0.9856
openmpi,1,4,1,mpi,2pno,1493659,5000,20,10000,5000,10,0,1,1,4,24.279,0.993633,0.999511,0.846615
openmpi,1,4,1,mpi,2pno,1493659,5000,50,10000,5000,10,0,1,1,4,60.534,0.995027,0.999302,0.932629
openmpi,1,4,1,mpi,2pno,1493659,5000,100,10000,5000,10,0,1,1,4,123.208,0.997626,0.999478,0.968681
openmpi,2,2,1,mpi,2pno,1493659,2000,20,10000,5000,10,0,1,1,4,11.002,0.980011,0.997721,0.858452
openmpi,2,2,1,mpi,2pno,1493659,2000,50,10000,5000,10,0,1,1,4,27.395,0.992041,0.998184,0.937288
openmpi,2,2,1,mpi,2pno,1493659,2000,100,10000,5000,10,0,1,1,4,56.609,0.992676,0.998621,0.970291
openmpi,2,2,1,mpi,2pno,1493659,2000,200,10000,5000,10,0,1,1,4,110.973,0.993603,0.998567,0.9856
openmpi,2,2,1,mpi,2pno,1493659,5000,20,10000,5000,10,0,1,1,4,27.278,0.993633,0.999511,0.846615
openmpi,2,2,1,mpi,2pno,1493659,5000,50,10000,5000,10,0,1,1,4,68.186,0.995027,0.999302,0.932629
openmpi,2,2,1,mpi,2pno,1493659,5000,100,10000,5000,10,0,1,1,4,139.359,0.997626,0.999478,0.968681
openmpi,2,4,1,mpi,2pno,1493659,2000,20,10000,5000,10,0,1,1,8,5.556,0.979176,0.997809,0.858402
openmpi,2,4,1,mpi,2pno,1493659,2000,50,10000,5000,10,0,1,1,8,13.857,0.992063,0.998144,0.93724
openmpi,2,4,1,mpi,2pno,1493659,2000,100,10000,5000,10,0,1,1,8,28.885,0.992598,0.998583,0.970341
openmpi,2,4,1,mpi,2pno,1493659,2000,200,10000,5000,10,0,1,1,8,56.408,0.993665,0.998594,0.985642
openmpi,2,4,1,mpi,2pno,1493659,5000,20,10000,5000,10,0,1,1,8,13.774,0.993875,0.999494,0.846697
